num_node,k,var_heuristic,domain_heuristic,forward_checking,iteration,solution,nodes_visited,time
10,3,Simple Variable,Simple Value,False,3,0,82,0.0004220008850097656
10,3,Simple Variable,Simple Value,False,4,0,226,0.0011823177337646484
10,3,Simple Variable,Least Constrained Value,False,0,0,208,0.00969552993774414
10,3,Simple Variable,Least Constrained Value,False,1,0,121,0.005808830261230469
10,3,Simple Variable,Least Constrained Value,False,2,0,382,0.01720261573791504
10,3,Simple Variable,Least Constrained Value,False,3,0,226,0.010478973388671875
10,3,Simple Variable,Least Constrained Value,False,4,0,145,0.006532907485961914
10,3,Most Constrained Variable,Simple Value,False,0,0,211,0.0013720989227294922
10,3,Most Constrained Variable,Simple Value,False,1,0,154,0.0009822845458984375
10,3,Most Constrained Variable,Simple Value,False,2,0,139,0.0008509159088134766
10,3,Most Constrained Variable,Simple Value,False,3,0,457,0.002637147903442383
10,3,Most Constrained Variable,Simple Value,False,4,0,142,0.0008056163787841797
10,3,Most Constrained Variable,Least Constrained Value,False,0,0,70,0.0034821033477783203
10,3,Most Constrained Variable,Least Constrained Value,False,1,0,238,0.012616634368896484
10,3,Most Constrained Variable,Least Constrained Value,False,2,0,355,0.015981435775756836
10,3,Most Constrained Variable,Least Constrained Value,False,3,6,139,0.005896091461181641
10,3,Most Constrained Variable,Least Constrained Value,False,4,0,64,0.003037691116333008
10,4,Simple Variable,Simple Value,False,0,672,4721,0.029336929321289062
10,4,Simple Variable,Simple Value,False,1,624,2561,0.01542043685913086
10,4,Simple Variable,Simple Value,False,2,1056,4937,0.028590917587280273
10,4,Simple Variable,Simple Value,False,3,336,1817,0.010147809982299805
10,4,Simple Variable,Simple Value,False,4,336,5157,0.03617072105407715
10,4,Simple Variable,Least Constrained Value,False,0,384,5445,0.31497979164123535
10,4,Simple Variable,Least Constrained Value,False,1,648,3425,0.16895842552185059
10,4,Simple Variable,Least Constrained Value,False,2,528,4693,0.2628176212310791
10,4,Simple Variable,Least Constrained Value,False,3,1344,4073,0.15865659713745117
10,4,Simple Variable,Least Constrained Value,False,4,480,3837,0.20486950874328613
10,4,Most Constrained Variable,Simple Value,False,0,816,3485,0.02117776870727539
10,4,Most Constrained Variable,Simple Value,False,1,816,3517,0.02195429801940918
10,4,Most Constrained Variable,Simple Value,False,2,432,3305,0.022710323333740234
10,4,Most Constrained Variable,Simple Value,False,3,768,4841,0.03412318229675293
10,4,Most Constrained Variable,Simple Value,False,4,240,1893,0.013439655303955078
10,4,Most Constrained Variable,Least Constrained Value,False,0,504,4997,0.28884315490722656
10,4,Most Constrained Variable,Least Constrained Value,False,1,528,3329,0.18059182167053223
10,4,Most Constrained Variable,Least Constrained Value,False,2,288,3233,0.19308042526245117
10,4,Most Constrained Variable,Least Constrained Value,False,3,648,2681,0.13036847114562988
10,4,Most Constrained Variable,Least Constrained Value,False,4,408,2517,0.1332859992980957
11,3,Simple Variable,Simple Value,False,0,0,328,0.0016558170318603516
11,3,Simple Variable,Simple Value,False,1,0,604,0.0030450820922851562
11,3,Simple Variable,Simple Value,False,2,6,466,0.0023021697998046875
11,3,Simple Variable,Simple Value,False,3,0,118,0.0006425380706787109
11,3,Simple Variable,Simple Value,False,4,0,184,0.0009753704071044922
11,3,Simple Variable,Least Constrained Value,False,0,0,112,0.0056667327880859375
11,3,Simple Variable,Least Constrained Value,False,1,0,58,0.002997875213623047
